id_venda,status,produto,pais,data_criacao,forma_pagamento,valor_bruto,valor_liquido,taxas,moeda,motivo_recusa,utm_source,utm_medium,utm_campaign,dia
zSd2vaG,waiting_payment,COMUNIDADE PROFESSOR PRO,br,2025-07-31 21:15:12,pix,87.0,76.69,10.31,BRL,,,,,2025-07-31
bgF6oJC,paid,CARDS DE LAYOUTS,br,2025-07-31 21:12:55,pix,9.9,9.01,0.89,BRL,,,,,2025-07-31
GdxHLwj,paid,FORMAÇÃO STORYTELLING NA EDUCAÇÃO,br,2025-07-31 21:12:55,pix,9.9,9.01,0.89,BRL,,,,,2025-07-31
AY8Iu1w,paid,GAMIFICAÇÃO & INTELIGÊNCIA ARTIFICIAL,br,2025-07-31 21:12:53,pix,27.0,22.08,4.92,BRL,,,,,2025-07-31
Gsccfye,waiting_payment,GAMIFICAÇÃO & INTELIGÊNCIA ARTIFICIAL,br,2025-07-31 19:53:37,pix,27.0,22.08,4.92,BRL,,Instagram_Feed,Criativo01,[Fase01][CBOMinicurso][31.07],2025-07-31
RtAX7gd,paid,GAMIFICAÇÃO & INTELIGÊNCIA ARTIFICIAL,br,2025-07-31 12:48:56,pix,27.0,22.08,4.92,BRL,,Instagram_Feed,Criativo02,[Fase01][CBOMinicurso][31.07],2025-07-31
cs1APiO,paid,METODOLOGIAS ATIVAS COM INTELIGÊNCIA ARTIFICIAL,br,2025-07-31 09:56:27,mastercard,47.0,40.28,6.72,BRL,,Instagram_Stories,Criativo10,[Fase01][CBOCurso][31.07],2025-07-31
0QYRVDI,waiting_payment,GAMIFICAÇÃO & INTELIGÊNCIA ARTIFICIAL,br,2025-07-29 12:40:29,pix,27.0,22.08,4.92,BRL,,Instagram_Stories,[Fase01][Gamificação][29.07][Criativo02],[Fase01][Gamificação][29.07][Criativo02],2025-07-29
SCVJsC4,paid,COMUNIDADE PROFESSOR PRO,,2025-07-28 20:20:00,pix,67.0,58.49,8.51,BRL,,,,,2025-07-28
3IYLfS9,paid,COMUNIDADE PROFESSOR PRO,br,2025-07-28 20:16:30,pix,67.0,58.49,8.51,BRL,,,,,2025-07-28
HPSLaesPgJsNbm4CCyVv,refused,METODOLOGIAS ATIVAS COM INTELIGÊNCIA ARTIFICIAL,br,2025-07-26 08:34:12,pix,86.7,40.28,6.72,BRL,antifraud,Instagram_Feed,Criativo 01 - Einstein,[Fase02][CriativosCampeões][24.07],2025-07-26
lYIBlfTdNd5WHLaQDT1R,refused,METODOLOGIAS ATIVAS COM INTELIGÊNCIA ARTIFICIAL,br,2025-07-26 08:32:09,pix,86.7,40.28,6.72,BRL,antifraud,Instagram_Feed,Criativo 01 - Einstein,[Fase02][CriativosCampeões][24.07],2025-07-26
KFUIzM7,paid,CARDS DE LAYOUTS,,2025-07-25 14:36:26,pix,9.9,9.01,0.89,BRL,,Instagram_Feed,Criativo 01 - Einstein,[Fase02][CriativosCampeões][24.07],2025-07-25
kCi0zdo,paid,METODOLOGIAS ATIVAS COM INTELIGÊNCIA ARTIFICIAL,,2025-07-25 14:36:23,pix,47.0,40.28,6.72,BRL,,Instagram_Feed,Criativo 01 - Einstein,[Fase02][CriativosCampeões][24.07],2025-07-25
8uhNnzw,paid,METODOLOGIAS ATIVAS COM INTELIGÊNCIA ARTIFICIAL,,2025-07-25 08:19:18,pix,47.0,40.28,6.72,BRL,,Facebook_Mobile_Feed,[Fase01][CursoMetodologias][24.07][Criativo05],[Fase01][CursoMetodologias][24.07][Criativo05],2025-07-25
bPO5SGk,paid,CARDS DE LAYOUTS,br,2025-07-24 19:13:45,pix,9.9,9.01,0.89,BRL,,Instagram_Feed,[Fase01][CursoMetodologias][24.07][Criativo06],[Fase01][CursoMetodologias][24.07][Criativo06],2025-07-24
BfH2cgX,paid,BIBLIOTECA DE RECURSOS,br,2025-07-24 19:13:45,pix,19.9,18.11,1.79,BRL,,Instagram_Feed,[Fase01][CursoMetodologias][24.07][Criativo06],[Fase01][CursoMetodologias][24.07][Criativo06],2025-07-24
